Name,tot_albums,below_above_album_avg
Iron Maiden,21,ABOVE AVERAGE
Led Zeppelin,14,ABOVE AVERAGE
Deep Purple,11,ABOVE AVERAGE
U2,10,ABOVE AVERAGE
Metallica,10,ABOVE AVERAGE
Ozzy Osbourne,6,ABOVE AVERAGE
Pearl Jam,5,ABOVE AVERAGE
Various Artists,4,ABOVE AVERAGE
Van Halen,4,ABOVE AVERAGE
Lost,4,ABOVE AVERAGE
Foo Fighters,4,ABOVE AVERAGE
Faith No More,4,ABOVE AVERAGE
The Rolling Stones,3,ABOVE AVERAGE
The Office,3,ABOVE AVERAGE
Santana,3,ABOVE AVERAGE
Red Hot Chili Peppers,3,ABOVE AVERAGE
R.E.M.,3,ABOVE AVERAGE
Queen,3,ABOVE AVERAGE
Os Paralamas Do Sucesso,3,ABOVE AVERAGE
Miles Davis,3,ABOVE AVERAGE
Jamiroquai,3,ABOVE AVERAGE
Guns N' Roses,3,ABOVE AVERAGE
Gilberto Gil,3,ABOVE AVERAGE
Eugene Ormandy,3,ABOVE AVERAGE
Berliner Philharmoniker & Herbert Von Karajan,3,ABOVE AVERAGE
Audioslave,3,ABOVE AVERAGE
Titãs,2,ABOVE AVERAGE
Tim Maia,2,ABOVE AVERAGE
The Tea Party,2,ABOVE AVERAGE
The Cult,2,ABOVE AVERAGE
The Black Crowes,2,ABOVE AVERAGE
Spyro Gyra,2,ABOVE AVERAGE
Smashing Pumpkins,2,ABOVE AVERAGE
Skank,2,ABOVE AVERAGE
Nirvana,2,ABOVE AVERAGE
Milton Nascimento,2,ABOVE AVERAGE
Michael Tilson Thomas & San Francisco Symphony,2,ABOVE AVERAGE
Lulu Santos,2,ABOVE AVERAGE
Legião Urbana,2,ABOVE AVERAGE
Kiss,2,ABOVE AVERAGE
Green Day,2,ABOVE AVERAGE
Eric Clapton,2,ABOVE AVERAGE
English Concert & Trevor Pinnock,2,ABOVE AVERAGE
Djavan,2,ABOVE AVERAGE
Cássia Eller,2,ABOVE AVERAGE
Creedence Clearwater Revival,2,ABOVE AVERAGE
Cidade Negra,2,ABOVE AVERAGE
Chico Science & Nação Zumbi,2,ABOVE AVERAGE
Caetano Veloso,2,ABOVE AVERAGE
Black Sabbath,2,ABOVE AVERAGE
Black Label Society,2,ABOVE AVERAGE
Battlestar Galactica,2,ABOVE AVERAGE
Antônio Carlos Jobim,2,ABOVE AVERAGE
Amy Winehouse,2,ABOVE AVERAGE
Accept,2,ABOVE AVERAGE
AC/DC,2,ABOVE AVERAGE
Zeca Pagodinho,1,AVERAGE
Yo-Yo Ma,1,AVERAGE
Yehudi Menuhin,1,AVERAGE
Wilhelm Kempff,1,AVERAGE
Vinícius De Moraes,1,AVERAGE
Velvet Revolver,1,AVERAGE
UB40,1,AVERAGE
Toquinho & Vinícius,1,AVERAGE
Ton Koopman,1,AVERAGE
The Who,1,AVERAGE
The Posies,1,AVERAGE
The Police,1,AVERAGE
The King's Singers,1,AVERAGE
The Doors,1,AVERAGE
The Clash,1,AVERAGE
The 12 Cellists of The Berlin Philharmonic,1,AVERAGE
"Terry Bozzio, Tony Levin & Steve Stevens",1,AVERAGE
Temple of the Dog,1,AVERAGE
System Of A Down,1,AVERAGE
Stone Temple Pilots,1,AVERAGE
Stevie Ray Vaughan & Double Trouble,1,AVERAGE
Soundgarden,1,AVERAGE
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",1,AVERAGE
Sir Georg Solti & Wiener Philharmoniker,1,AVERAGE
Sergei Prokofiev & Yuri Temirkanov,1,AVERAGE
Scorpions,1,AVERAGE
Scholars Baroque Ensemble,1,AVERAGE
Rush,1,AVERAGE
Royal Philharmonic Orchestra & Sir Thomas Beecham,1,AVERAGE
"Roger Norrington, London Classical Players",1,AVERAGE
"Richard Marlow & The Choir of Trinity College, Cambridge",1,AVERAGE
Raul Seixas,1,AVERAGE
Raimundos,1,AVERAGE
R.E.M. Feat. Kate Pearson,1,AVERAGE
Planet Hemp,1,AVERAGE
Pink Floyd,1,AVERAGE
Philip Glass Ensemble,1,AVERAGE
Philharmonia Orchestra & Sir Neville Marriner,1,AVERAGE
Paul D'Ianno,1,AVERAGE
Passengers,1,AVERAGE
Page & Plant,1,AVERAGE
Otto Klemperer & Philharmonia Orchestra,1,AVERAGE
Os Mutantes,1,AVERAGE
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,1,AVERAGE
Orchestra of The Age of Enlightenment,1,AVERAGE
Olodum,1,AVERAGE
O Terço,1,AVERAGE
O Rappa,1,AVERAGE
Nicolaus Esterhazy Sinfonia,1,AVERAGE
Nash Ensemble,1,AVERAGE
Mötley Crüe,1,AVERAGE
Mônica Marianno,1,AVERAGE
Motörhead,1,AVERAGE
Michele Campanella,1,AVERAGE
Men At Work,1,AVERAGE
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1,AVERAGE
Maurizio Pollini,1,AVERAGE
Marvin Gaye,1,AVERAGE
Martin Roscoe,1,AVERAGE
Marisa Monte,1,AVERAGE
Marillion,1,AVERAGE
Marcos Valle,1,AVERAGE
Luciano Pavarotti,1,AVERAGE
Luciana Souza/Romero Lubambo,1,AVERAGE
London Symphony Orchestra & Sir Charles Mackerras,1,AVERAGE
Les Arts Florissants & William Christie,1,AVERAGE
Leonard Bernstein & New York Philharmonic,1,AVERAGE
Lenny Kravitz,1,AVERAGE
Kent Nagano and Orchestre de l'Opéra de Lyon,1,AVERAGE
Karsh Kale,1,AVERAGE
Julian Bream,1,AVERAGE
Judas Priest,1,AVERAGE
João Suplicy,1,AVERAGE
Jota Quest,1,AVERAGE
Jorge Ben,1,AVERAGE
Joe Satriani,1,AVERAGE
Jimi Hendrix,1,AVERAGE
James Levine,1,AVERAGE
James Brown,1,AVERAGE
JET,1,AVERAGE
Itzhak Perlman,1,AVERAGE
Incognito,1,AVERAGE
House Of Pain,1,AVERAGE
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",1,AVERAGE
Heroes,1,AVERAGE
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",1,AVERAGE
Habib Koité and Bamada,1,AVERAGE
Göteborgs Symfoniker & Neeme Järvi,1,AVERAGE
Gustav Mahler,1,AVERAGE
Gonzaguinha,1,AVERAGE
Godsmack,1,AVERAGE
Gerald Moore,1,AVERAGE
Gene Krupa,1,AVERAGE
Funk Como Le Gusta,1,AVERAGE
Fretwork,1,AVERAGE
Frank Zappa & Captain Beefheart,1,AVERAGE
Frank Sinatra,1,AVERAGE
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",1,AVERAGE
Falamansa,1,AVERAGE
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1,AVERAGE
Emerson String Quartet,1,AVERAGE
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1,AVERAGE
Elis Regina,1,AVERAGE
Edo de Waart & San Francisco Symphony,1,AVERAGE
Ed Motta,1,AVERAGE
Dread Zeppelin,1,AVERAGE
Dennis Chambers,1,AVERAGE
Def Leppard,1,AVERAGE
David Coverdale,1,AVERAGE
Cláudio Zoli,1,AVERAGE
Christopher O'Riley,1,AVERAGE
Chris Cornell,1,AVERAGE
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1,AVERAGE
Choir Of Westminster Abbey & Simon Preston,1,AVERAGE
Chico Buarque,1,AVERAGE
Chicago Symphony Orchestra & Fritz Reiner,1,AVERAGE
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1,AVERAGE
Charles Dutoit & L'Orchestre Symphonique de Montréal,1,AVERAGE
Calexico,1,AVERAGE
Cake,1,AVERAGE
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1,AVERAGE
Buddy Guy,1,AVERAGE
Bruce Dickinson,1,AVERAGE
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1,AVERAGE
Boston Symphony Orchestra & Seiji Ozawa,1,AVERAGE
Body Count,1,AVERAGE
Billy Cobham,1,AVERAGE
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1,AVERAGE
Berliner Philharmoniker & Hans Rosbaud,1,AVERAGE
Battlestar Galactica (Classic),1,AVERAGE
Barry Wordsworth & BBC Concert Orchestra,1,AVERAGE
BackBeat,1,AVERAGE
Aquaman,1,AVERAGE
Apocalyptica,1,AVERAGE
Antal Doráti & London Symphony Orchestra,1,AVERAGE
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1,AVERAGE
Alice In Chains,1,AVERAGE
Alberto Turco & Nova Schola Gregoriana,1,AVERAGE
Alanis Morissette,1,AVERAGE
Aisha Duo,1,AVERAGE
Aerosmith,1,AVERAGE
Adrian Leaper & Doreen de Feis,1,AVERAGE
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1,AVERAGE
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1,AVERAGE
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1,AVERAGE
Academy of St. Martin in the Fields & Sir Neville Marriner,1,AVERAGE
Aaron Goldberg,1,AVERAGE
Aaron Copland & London Symphony Orchestra,1,AVERAGE
